r0 [AU],vr0 [km/s],vt0 [km/s],r1 [AU],t1 [AU],n1 [AU],vr1 [km/s],vt1 [km/s],vn1 [km/s],tof [days],m0_maximum [kg],m1_maximum [kg]
2.74015778,-34.37863887,552.799948,2.738493092,0.025116968,-2.79E-05,-38.89228785,552.8272626,-1.22530944,2.343054254,2889.773382,2886.676932
2.737843453,-33.5147415,553.2865251,2.736219895,0.025134551,-2.73E-05,-37.95036587,553.1231275,-1.199842163,2.343054254,2885.128705,2882.032251
2.735592496,-32.53186474,553.4962047,2.734014474,0.02514132,-2.66E-05,-36.93086465,553.2158208,-1.168957541,2.343054254,2880.484024,2877.387569
2.733410702,-31.49129358,553.5279492,2.731880363,0.025140938,-2.60E-05,-35.8735222,553.1696417,-1.142920694,2.343054254,2875.839341,2872.742884
2.731300849,-30.42404586,553.434787,2.729819155,0.025135406,-2.55E-05,-34.79996154,553.0206913,-1.122329269,2.343054254,2871.194655,2868.098195
2.729264115,-29.34750427,553.2469878,2.727831348,0.025125889,-2.52E-05,-33.72305986,552.7904426,-1.10610737,2.343054254,2866.549965,2863.453503
2.727300744,-28.27242723,552.9832562,2.725916748,0.025113136,-2.49E-05,-32.6514065,552.4934118,-1.093501541,2.343054254,2861.905272,2858.80881
2.725410371,-27.20617085,552.6565947,2.724074688,0.025097673,-2.46E-05,-31.59101835,552.1398224,-1.083725668,2.343054254,2857.260578,2854.164115
2.72359221,-26.1539311,552.2761585,2.722304167,0.025079871,-2.45E-05,-30.54624591,551.7369496,-1.076102287,2.343054254,2852.615883,2849.519419
2.72184517,-25.11952132,551.8485379,2.72060393,0.025060003,-2.43E-05,-29.52037688,551.2901788,-1.070140826,2.343054254,2847.971187,2844.874723
2.720167931,-24.10586557,551.3786838,2.718972536,0.025038273,-2.42E-05,-28.5159957,550.803666,-1.065489162,2.343054254,2843.32649,2840.230026
2.718558999,-23.11528905,550.870465,2.717408387,0.025014846,-2.41E-05,-27.53519844,550.2807322,-1.061887722,2.343054254,2838.681793,2835.585328
2.717016734,-22.14969453,550.327005,2.715909762,0.024989853,-2.41E-05,-26.57972803,549.7241089,-1.059140377,2.343054254,2834.037096,2830.94063
2.715539376,-21.21067532,549.7508957,2.714474833,0.024963406,-2.40E-05,-25.65106355,549.1360998,-1.057096401,2.343054254,2829.392398,2826.295932
2.714125068,-20.29959106,549.1443401,2.71310168,0.0249356,-2.40E-05,-24.75048156,548.5186923,-1.055638847,2.343054254,2824.747699,2821.651233
2.712771865,-19.4176203,548.5092525,2.711788307,0.024906518,-2.40E-05,-23.87909943,547.8736377,-1.054676633,2.343054254,2820.103001,2817.006535
2.711477747,-18.56579781,547.8473308,2.710532649,0.024876234,-2.39E-05,-23.03790644,547.2025095,-1.054138712,2.343054254,2815.458302,2812.361836
2.710240627,-17.74504159,547.1601102,2.709332577,0.024844816,-2.39E-05,-22.22778641,546.5067472,-1.05396932,2.343054254,2810.813603,2807.717137
2.70905836,-16.95617256,546.4490017,2.708185909,0.024812326,-2.39E-05,-21.44953441,545.7876869,-1.054123873,2.343054254,2806.168904,2803.072437
2.707928747,-16.19992916,545.7153199,2.707090415,0.024778823,-2.40E-05,-20.7038693,545.0465818,-1.05456561,2.343054254,2801.524204,2798.427738
2.706849541,-15.47697849,544.9603014,2.706043816,0.024744361,-2.40E-05,-19.9914435,544.2846171,-1.055263202,2.343054254,2796.879505,2793.783038
2.705818453,-14.78792483,544.1851164,2.703969419,0.0504845,-5.40E-05,-25.14208103,545.9465645,-1.16450889,4.776414245,3317.91302,3311.600745
2.703747487,-14.9860017,547.398367,2.701881487,0.050783316,-5.32E-05,-25.31050042,549.1857842,-1.148052649,4.776414245,3308.444607,3302.132332
2.701665549,-14.94530314,550.6560693,2.699804672,0.051086249,-5.23E-05,-25.24068111,552.4694897,-1.12883276,4.776414245,3298.976195,3292.663921
2.699606017,-14.66295284,553.9516136,2.697772618,0.051392706,-5.13E-05,-24.92980649,555.7914802,-1.105983863,4.776414245,3289.507784,3283.19551
2.697602627,-14.13670644,557.2788131,2.69581926,0.051702139,-5.00E-05,-24.37584261,559.1461394,-1.078217311,4.776414245,3280.039373,3273.7271
2.69568937,-13.36518665,560.6321848,2.693978693,0.052014077,-4.85E-05,-23.57787846,562.5288026,-1.043536752,4.776414245,3270.570964,3264.258692
2.693900344,-12.34827215,564.0073849,2.69228499,0.052328172,-4.64E-05,-22.53671604,565.9363369,-0.998688693,4.776414245,3261.102556,3254.790286
2.69226954,-11.08779169,567.4019009,2.690771892,0.052644273,-4.37E-05,-21.25597733,569.3680619,-0.938018076,4.776414245,3251.634151,3245.321883
2.690830483,-9.58887351,570.8161527,2.689472294,0.052962544,-3.98E-05,-19.74438365,572.8271748,-0.850847791,4.776414245,3242.165749,3235.853484
2.689615599,-7.862848671,574.2551509,2.688417238,0.053283622,-3.37E-05,-18.02101323,576.3224795,-0.714708492,4.776414245,3232.697353,3226.385093
2.688654927,-5.934332177,577.7300776,2.687633684,0.053608643,-2.32E-05,-16.1292298,579.8665601,-0.475074078,4.776414245,3223.228965,3216.916717
